person_name,user_name,email, personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Mitică Stănescu,miticăstănescu,miticăstănescu@post.ro,2681123271118,1933-02-08,"Drumul Ardelean, Miercurea-Ciuc, 461552",0247 636 755,fc:8b:cd:6c:99:6e,107.76.153.148,RO43XWHQ3091024885389251,2025-04-07 14:30:10,19357,815,67,612451,e56711b2-8819-4cfa-82db-9a6f104ca26b
Ilarion Pop,ilarionpop,ilarionpop@email.ro,4931217165691,1969-03-08,"Intrarea Diaconescu Nr. 26 Bl. 97  Sc. 68 Ap. 892, Prejmer, 371077",0256 599 482,9a:06:83:31:eb:82,171.16.171.165,RO57LIHP5012249012742680,2025-04-07 14:30:10,28769,787,171,1442429,7da684c5-efff-41ad-a0b9-1fef861d2695
Nicolaie Diaconescu,nicolaiediaconescu,nicolaiediaconescu@email.ro,2000313307128,1999-02-25,"Drumul Georgescu Nr. 880 Bl. 33  Sc. 11 Ap. 946, Rasnov, 367696",0785 333 485,4e:e1:0b:1e:45:60,67.49.132.96,RO84XJBR9763427004668886,2025-04-07 14:30:10,23234,426,792,1758953,884caa48-44fe-48e1-87d5-0ec701659acb
Cristea Toma,cristeatoma,cristeatoma@gmail.com,4160629315414,1933-10-16,"Soseaua Iacob Preda, Sinaia, 660137",0741 180 190,ee:6e:f9:69:a1:3c,53.88.238.19,RO09WFNJ8463555426940880,2025-04-07 14:30:10,20691,494,418,117930,2706de6f-c99a-4028-a2a2-069714c1167b
Ioan Tomescu,ioantomescu,ioantomescu@141.ro,5060630413366,1963-08-25,"Strada Tabacu, Dej, 277995",0251 495 867,08:e8:f6:3b:12:63,113.97.159.19,RO09NUTF4331590657428566,2025-04-07 14:30:10,8671,421,351,1445406,45fafbf8-f110-433d-9a47-d5a8fef94e0b
Amedeu Diaconu,amedeudiaconu,amedeudiaconu@email.ro,5370505376943,1979-07-09,"Intrarea Barbu, Marasesti, 229181",0232 675 469,f2:b8:5f:a9:ef:10,114.52.244.88,RO22COGQ5233405528802951,2025-04-07 14:30:10,33692,654,299,732293,f21257c3-1b93-4de5-ab3c-867d26a0f2ce
Miruna Dima,mirunadima,mirunadima@zzup.ro,6380409193246,1916-05-08,"Intrarea Suciu Nr. 25 Bl. 54  Sc. 73 Ap. 474, Negresti, 699005",0731 287 865,aa:5b:33:3e:f5:63,213.239.221.16,RO66YAFO5221945634654279,2025-04-07 14:30:10,19070,999,229,186708,cd386362-4a61-42f3-8068-f8f2158fdb5d
Mirona Mazilescu,mironamazilescu,mironamazilescu@acasa.ro,6740421112741,2002-03-16,"Intrarea Grațiela Ardelean, Sabaoani, 406016",0259 622 607,4a:03:09:43:dc:bf,212.143.97.254,RO61GWZK9015873096439185,2025-04-07 14:30:10,2364,381,614,195936,a49c0d11-1812-4167-b825-152fb59c604b
Călin Popa,călinpopa,călinpopa@kappa.ro,3350416247660,1935-04-12,"Drumul Voinea Nr. 89, Campulung, 429823",0760 784 078,cc:ba:35:55:20:81,148.217.83.112,RO12NNEB2617892528887239,2025-04-07 14:30:10,25529,183,410,1386523,b97b7af3-1e68-4eb8-948b-7c63e88c1fb7
Constanța Albu,constanțaalbu,constanțaalbu@gmail.com,7040526112357,2000-05-11,"Bulevardul Ene, Baia Sprie, 567224",0750 360 440,08:61:96:9b:ad:d3,94.62.59.88,RO59CYME4618127997315883,2025-04-07 14:30:10,26568,756,486,1259171,7090c60c-ff14-4e02-a8da-60995bfb250d
Ioan Popa,ioanpopa,ioanpopa@email.ro,3020118130595,1912-10-18,"Bulevardul Lorin Tudor Nr. 77, Tasnad, 993298",0761 027 502,84:a0:6a:1b:7d:3a,156.148.171.54,RO22ICNA8408510525559939,2025-04-07 14:30:10,5649,901,44,933387,70ad4ae0-bddb-4976-bebd-f92ab6126102
Emilia Niță,emilianiță,emilianiță@post.ro,7950211183187,1991-03-14,"Drumul Veta Ioniță Nr. 61 Bl. 81  Sc. 50 Ap. 111, Tufesti, 522348",0269 411 218,5c:02:68:19:f5:b2,168.167.74.240,RO45TMAU6539140670222888,2025-04-07 14:30:10,34263,655,742,781192,4f0381c9-96a4-48c2-937c-5af3c8a4cc5f
Flavia Ene,flaviaene,flaviaene@kappa.ro,8620603427048,1917-01-30,"Strada Paraschiva Dumitrescu Nr. 114, Berceni, 154724",0784 504 033,a6:02:86:2b:dd:47,176.27.142.65,RO88EKQJ6063658088924541,2025-04-07 14:30:10,30134,897,164,1657365,a840debe-a013-4173-bc24-17349bd1e8a0
Panait Oprea,panaitoprea,panaitoprea@email.ro,8221227182156,1934-05-11,"Intrarea Eremia Dima Nr. 441, Pechea, 604612",0259 567 129,00:d7:07:98:1d:63,139.104.19.253,RO28KRBN7824173448258402,2025-04-07 14:30:10,21776,140,532,468452,f38ffb68-2e3b-4763-9be9-12ccadc0e69f
Sandu Dobre,sandudobre,sandudobre@gmail.com,2400313233254,1993-11-14,"Drumul Popa Nr. 917 Bl. 79  Sc. 45 Ap. 709, Teius, 712524",0723 138 697,dc:e1:d3:5d:3e:6d,46.91.204.233,RO72CRRA0282532714575522,2025-04-07 14:30:10,2310,619,477,115710,ef8cfe28-f6a4-4cf6-bd5c-2d7d3339d3e5
Radu Stănescu,radustănescu,radustănescu@email.ro,8900726035268,1961-05-13,"Aleea Iolanda Barbu, Botosani, 445336",0753 054 578,5e:53:9c:88:f6:ef,61.244.174.194,RO91FLYM6826375863746192,2025-04-07 14:30:10,5960,30,237,1319843,9e3c20d2-dbbd-4bab-96aa-4e395c4ebbbe
Florina Georgescu,florinageorgescu,florinageorgescu@gmail.com,5830114089122,2000-10-30,"Bulevardul Ladislau Ionescu Nr. 127 Bl. 48  Sc. 67 Ap. 742, Ianca, 248748",0243 669 868,c0:ad:2d:ea:6c:a3,38.65.106.50,RO85SELP2341546613661370,2025-04-07 14:30:10,34577,188,732,427031,f8cc9b55-18bd-43b4-af96-e5bc7861685d
Pamela Nemeș,pamelanemeș,pamelanemeș@acasa.ro,8550627236503,1983-08-26,"Aleea Suciu, Paunesti, 771753",0739 168 538,98:dd:96:fd:04:81,18.48.144.219,RO69BJJY8179653074837417,2025-04-07 14:30:10,16893,411,111,237148,e6bbe3c5-22d7-4079-8202-de2b55393020
Geanina Nemeș,geaninanemeș,geaninanemeș@141.ro,8860907314144,1960-09-05,"Drumul Ene Nr. 943 Bl. 17  Sc. 64 Ap. 275, Vulcan, 878828",0760 968 797,44:94:e9:aa:9f:8a,101.221.44.104,RO42DVDE8700638559274376,2025-04-07 14:30:10,22332,734,754,1384130,4fa3ec6e-1fef-4e8c-890b-f739ded74865
Codruța Stoica,codruțastoica,codruțastoica@kappa.ro,2400202231291,1954-09-17,"Bulevardul Tabacu, Feldru, 191969",0745 132 654,2a:97:1a:09:0a:ae,58.186.229.237,RO67MKSD7661415087185845,2025-04-07 14:30:10,5555,652,755,1559083,d5269422-ba03-498d-970f-ec660c15d584
Mihaela Stancu,mihaelastancu,mihaelastancu@acasa.ro,8081111512074,1952-12-03,"Soseaua Luana Mazilescu Nr. 91, Strejnicu, 339966",0760 061 437,34:fa:50:0d:57:bc,69.220.191.109,RO05VTTQ7415522411701429,2025-04-07 14:30:10,34860,309,280,771957,fc6da3b4-0b8e-42fd-a9fd-4736169e1192
Melina Popescu,melinapopescu,melinapopescu@141.ro,3150907404270,1950-11-29,"Aleea Gabriel Ene, Voluntari, 131934",0763 222 252,38:80:86:76:53:a2,39.160.186.94,RO48IUFH5564124761584585,2025-04-07 14:30:10,9165,184,83,1828104,ebae4dc7-a8a1-48a5-ba3c-c62d0dd576dd
Caterina Tudor,caterinatudor,caterinatudor@acasa.ro,4900323406290,2002-05-01,"Drumul Mazilescu Nr. 430 Bl. 91  Sc. 91 Ap. 654, Sacueni, 790340",0739 592 185,c4:87:c8:4d:7b:d9,133.6.152.124,RO59PMFA4900378617978693,2025-04-07 14:30:10,4101,447,359,1968227,bcf8d484-0b1e-4708-bc40-8edf267d903b
Aglaia Stan,aglaiastan,aglaiastan@141.ro,2540102356922,1938-02-06,"Drumul Nicuță Stan Nr. 105 Bl. 68  Sc. 49 Ap. 136, Petrila, 131037",0730 013 008,60:bc:82:d1:95:e2,23.163.127.197,RO82JGSD4105744158889862,2025-04-07 14:30:10,17963,886,773,1507738,bd318bc6-e913-450e-8d67-6e2015b15e7b
Vlădelina Tabacu,vlădelinatabacu,vlădelinatabacu@email.ro,7720126080222,1988-06-20,"Drumul Popescu Nr. 209 Bl. 83  Sc. 58 Ap. 380, Voluntari, 141806",0244 513 125,72:87:89:44:ba:00,103.42.13.242,RO74EIOM6878750786181267,2025-04-07 14:30:10,13631,518,295,1627753,1e62e900-8c95-4db5-9a18-e9a5ac85e11e
Luca Tabacu,lucatabacu,lucatabacu@141.ro,8871113067120,2007-03-25,"Drumul Ioniță, Codlea, 675715",0757 567 167,d0:9a:34:f5:07:54,5.102.131.112,RO06APNL2905964377016145,2025-04-07 14:30:10,22359,17,590,1424900,a8a023d4-8c5a-44d7-89c1-98d96b10b574
Petrică Ardelean,petricăardelean,petricăardelean@141.ro,4010202189163,2015-09-06,"Intrarea Viorica Stoica Nr. 969 Bl. 40  Sc. 60 Ap. 649, Apahida, 871231",0769 479 294,fa:37:bf:7e:b2:fa,53.170.75.171,RO94GCKB4737439139123911,2025-04-07 14:30:10,13638,843,311,209724,23a27b0e-91bd-430d-b097-8de6ff45a266
Francesca Dima,francescadima,francescadima@kappa.ro,8240720243174,1989-06-16,"Intrarea Stănescu Nr. 713 Bl. 74  Sc. 31 Ap. 792, Marginea, 108197",0785 860 645,8e:64:83:7e:0a:8e,35.42.119.152,RO23MKYF5952466414418685,2025-04-07 14:30:10,9060,526,106,1976344,3641e227-cfb8-4ee9-880a-9584d8845bf3
Dominic Diaconescu,dominicdiaconescu,dominicdiaconescu@kappa.ro,1190129164711,1910-12-24,"Drumul Ababei Nr. 236 Bl. 82  Sc. 48 Ap. 455, Fieni, 171557",0749 765 858,ac:7d:ea:f4:5b:98,12.127.31.98,RO46OPIM6609405777317547,2025-04-07 14:30:10,9361,520,150,1235688,076154c0-b69f-4b44-a95a-5cc573220d5c
Cleopatra Popa,cleopatrapopa,cleopatrapopa@acasa.ro,2490411377652,2011-07-19,"Bulevardul Vasile Cristea Nr. 15 Bl. 25  Sc. 36 Ap. 780, Buhusi, 912756",0231 803 356,de:80:c7:99:c4:c4,190.3.155.184,RO77WRCA0707609967505507,2025-04-07 14:30:10,4856,508,787,845258,86648960-e665-4c13-9f91-8df14dd1383b
Oana Nemeș,oananemeș,oananemeș@zzup.ro,6341130096983,1967-02-23,"Drumul Rodica Voinea Nr. 40, Sancraiu de Mures, 898519",0721 811 045,22:d2:cf:39:73:84,104.67.47.155,RO94FFZO8297118079111504,2025-04-07 14:30:10,34152,268,425,494162,8e67e234-f3af-40c7-acc8-3823327cecfe
Luiza Nistor,luizanistor,luizanistor@acasa.ro,3990931296872,2021-01-20,"Strada Beniamin Nistor Nr. 320 Bl. 49  Sc. 79 Ap. 617, Floresti, 688247",0251 957 699,14:3b:f2:02:be:42,34.83.173.220,RO28YMQU6451523490564852,2025-04-07 14:30:10,1502,748,415,1743114,48c2fd05-b3d9-417e-b01c-fee2fa96c7cb
Vicențiu Popescu,vicențiupopescu,vicențiupopescu@141.ro,7881023033357,2007-04-27,"Strada Ionescu Nr. 77, Chisineu-Cris, 792621",0711 925 758,f4:0e:6a:f2:7d:67,164.160.198.40,RO90CIWT8767759385024271,2025-04-07 14:30:10,19200,158,78,944965,d92bb355-3e7f-43a9-a27c-42a5cf834453
Maximilian Ioniță,maximilianioniță,maximilianioniță@kappa.ro,3070710270119,2013-07-12,"Bulevardul Toma, Medias, 764883",0243 497 740,54:47:a7:33:a9:31,31.188.38.106,RO90TBRO6072727418311670,2025-04-07 14:30:10,12640,930,145,816422,0bd6e698-0d94-41d1-871e-cabd196e548e
Elisaveta Pop,elisavetapop,elisavetapop@gmail.com,7510112351819,2003-08-20,"Bulevardul Ene Nr. 436, Codlea, 300122",0711 634 158,aa:0b:43:47:41:08,197.227.114.239,RO63WPKF2357095926266560,2025-04-07 14:30:10,32459,965,278,1063647,bc5baeeb-6d3c-416b-996b-639511a91c9a
Simion Barbu,simionbarbu,simionbarbu@acasa.ro,1130717465813,1937-08-15,"Soseaua Alice Tabacu, Schela Cladovei, 618111",0770 137 777,7a:6e:45:20:d7:e4,200.104.119.195,RO94WPAY5513664796018940,2025-04-07 14:30:10,3672,335,548,1665183,85f2ce31-bf1c-4f16-8f1d-393b7e37c92f
Eusebia Oprea,eusebiaoprea,eusebiaoprea@zzup.ro,4870913300946,1926-01-01,"Strada Eliza Cristea Nr. 85 Bl. 92  Sc. 71 Ap. 265, Podu Iloaiei, 534621",0232 942 765,da:cd:af:49:0a:39,7.84.89.45,RO23ZUDX0610469517220783,2025-04-07 14:30:10,604,29,713,1475903,07d71e32-9300-4ff7-8c7b-0c90344c6c10
Dora Cristea,doracristea,doracristea@141.ro,4570424162726,1977-10-28,"Drumul Dorinel Voinea Nr. 12, Odorheiu Secuiesc, 111981",0758 450 392,30:26:62:7c:4f:ee,44.157.230.82,RO48GSSY3207114088088722,2025-04-07 14:30:10,1545,744,771,63549,7a4ebe9c-228c-4bb6-ae4c-df107c8bfc54
Anghel Aanei,anghelaanei,anghelaanei@gmail.com,2450624438340,1968-10-16,"Drumul Dobre Nr. 706, Cugir, 989250",0720 674 858,62:b4:7a:21:bb:6c,131.246.215.16,RO08XAUA6562128674372320,2025-04-07 14:30:10,3042,398,244,655224,9b729fee-46b1-4cd0-9fe2-7b43c3440b40
Dorinel Ardelean,dorinelardelean,dorinelardelean@acasa.ro,6820207173882,1909-08-06,"Aleea Tabacu Nr. 81, Beius, 192876",0245 970 930,0e:fd:38:59:a3:ba,93.47.48.172,RO31GUNO3496754891562258,2025-04-07 14:30:10,14783,578,348,1712530,dd8a89a7-54bd-452a-9832-280216e5a3e9
Silvian Tomescu,silviantomescu,silviantomescu@zzup.ro,6030212352235,1934-02-09,"Intrarea Gheorghiu Nr. 551, Baile Borsa, 662779",0722 558 276,10:1f:65:f6:1f:16,92.222.66.85,RO64RTRC2481550461510963,2025-04-07 14:30:10,1392,826,704,1866308,2b6deb48-eb43-4cd5-bfb0-256372264d38
Sever Ionescu,severionescu,severionescu@email.ro,8530724027030,1980-05-18,"Aleea Oprea Nr. 58, Bumbesti-Jiu, 198779",0721 194 841,32:26:72:34:3b:d1,85.152.4.45,RO20ZMFF0149260783627707,2025-04-07 14:30:10,4323,743,605,352433,71583acc-ab86-4809-bfd8-390029099e15
Bucur Ardelean,bucurardelean,bucurardelean@email.ro,1840306462607,1927-05-20,"Aleea Diaconu Nr. 367 Bl. 30  Sc. 80 Ap. 887, Marghita, 743969",0756 253 410,6c:50:32:75:24:a4,185.82.121.148,RO68VHIS6839471404077126,2025-04-07 14:30:10,19588,5,520,969951,12341466-5baf-4989-9ce8-798289c5bc97
Amedeu Dinu,amedeudinu,amedeudinu@acasa.ro,2220703252057,1949-03-30,"Intrarea Paul Diaconescu Nr. 722, Rucar, 744979",0736 530 239,b4:96:61:e9:bf:8e,168.217.129.127,RO37DVOY6929586833585445,2025-04-07 14:30:10,6033,533,164,36190,75deca14-eb08-42d9-9f91-2ff5831973f6
Eustațiu Dima,eustațiudima,eustațiudima@zzup.ro,6551101204067,1955-07-17,"Aleea Cazimir Ionescu Nr. 51 Bl. 21  Sc. 70 Ap. 481, Lugoj, 924193",0722 781 987,ae:93:3a:fd:4c:9b,174.230.170.238,RO18KTGF2195704579399521,2025-04-07 14:30:10,14415,150,17,497066,748dca54-8299-4513-9a94-c39954598291
Amalia Barbu,amaliabarbu,amaliabarbu@zzup.ro,2901208220435,1992-10-14,"Bulevardul Popescu Nr. 75, Tandarei, 717811",0253 545 672,d6:8a:41:25:3f:c5,67.152.251.29,RO97HUTD3168982923180104,2025-04-07 14:30:10,27359,478,293,1441172,0e6b406e-e4d0-462d-919e-fbfb9becb213
Stela Cristea,stelacristea,stelacristea@zzup.ro,3230206018295,1941-04-23,"Intrarea Raul Tomescu Nr. 44, Vicovu de Jos, 680821",0242 601 751,6c:a1:d6:1c:3e:d4,157.81.23.241,RO76WHYM8076206054024755,2025-04-07 14:30:10,33759,161,472,953795,f2aff169-2831-4d2f-9755-28d5b09c2d53
Andrada Gheorghiu,andradagheorghiu,andradagheorghiu@post.ro,6171030442409,1970-01-30,"Bulevardul Eva Ionescu, 1 Decembrie, 288587",0761 455 173,48:f4:f8:9c:b5:6e,88.117.145.75,RO44SHYP2119299390390983,2025-04-07 14:30:10,23448,812,34,1681423,81b34eda-7281-42ec-8a43-027e8eb9863e
Cornel Tudor,corneltudor,corneltudor@post.ro,4950410288016,1937-03-30,"Soseaua Andra Pușcașu Nr. 43 Bl. 83  Sc. 56 Ap. 319, Pechea, 877871",0737 238 074,02:28:8c:b0:dd:29,27.1.243.226,RO89TLXF9521218769727876,2025-04-07 14:30:10,29623,394,776,1566957,d79e2b59-5272-4870-8db4-ebab67563711
Albert Georgescu,albertgeorgescu,albertgeorgescu@gmail.com,2320231349769,1953-09-27,"Soseaua Gheorghiu Nr. 679 Bl. 37  Sc. 28 Ap. 607, Orsova, 979437",0770 386 547,50:f6:c1:de:f4:a6,31.202.202.119,RO05BVFA7645738406161318,2025-04-07 14:30:10,17372,534,319,1409104,1ec2e57a-9685-45b8-9a99-d1a00f703eb2
Beniamin Suciu,beniaminsuciu,beniaminsuciu@acasa.ro,1640326360359,2012-01-02,"Intrarea Dinu, Gugesti, 214558",0725 992 042,5a:6d:10:3c:e9:4f,148.59.52.43,RO94HRHN3082072569824598,2025-04-07 14:30:10,14275,851,557,751720,e7fc51ac-72c3-4915-8f0e-aa1228973aa9
Nicoară Nistor,nicoarănistor,nicoarănistor@post.ro,1760130258331,1918-02-07,"Soseaua Dumitrescu Nr. 63, Popesti-Leordeni, 846423",0753 430 955,64:32:bd:83:02:f6,130.241.25.44,RO95AVVQ2917718167532081,2025-04-07 14:30:10,12606,989,3,1979887,17f3767d-a6ff-476b-aa53-baa4ee307639
Florin Dochioiu,florindochioiu,florindochioiu@kappa.ro,5130826184947,1947-06-03,"Aleea Tomescu Nr. 789, Babadag, 537254",0260 245 506,1a:40:26:1b:dd:a5,29.36.57.193,RO93MSRJ0238945884715553,2025-04-07 14:30:10,21618,210,436,568105,948bec24-e5e3-4edc-96a2-288462cef08e
